row_i,col_j,ri,th,rf,v,a,b0,scan,stress,j_crit,je_max,je_sc,margin,converged
1,9,0.1610169491525424,0.054462847255740715,0.2154797964082831,0.08145036971746017,0.06441862359852428,16.38901224027869,16.898752747228905,315.9635255827826,639.8802679036081,255.95210716144325,255.94466537942395,2.500072689364401,True
1,10,0.17779661016949153,0.05049425546802111,0.22829086563751264,0.09931087898887854,0.06441862359852428,15.453532289408658,25.868255491699376,334.5778389752814,657.2557310729072,262.9022924291629,262.91341339443784,2.4998942525874646,True
1,11,0.19457627118644066,0.04701224272633214,0.2415885139127728,0.11894046321564498,0.06441862359852428,14.598593394031711,37.584559865958425,350.9627886137881,674.0699382247644,269.6279752899058,269.63570229002215,2.4999283570383044,True
1,12,0.21135593220338983,0.0439407869751508,0.25529671917854063,0.14033912239775956,0.06441862359852428,13.815454654850397,52.32668813652865,365.289437702279,690.3255078674615,276.1302031469846,276.1356063800801,2.4999510817061377,True
1,13,0.228135593220339,0.041217211925177744,0.26935280514551674,0.16350685653522223,0.06441862359852428,13.095256545519485,70.29254612846447,377.66140046396345,706.0556240090036,282.4222496036015,282.41309390543773,2.5000810488107783,True
1,14,0.24491525423728813,0.038789815340042805,0.28370506957733094,0.18844366562803297,0.06441862359852428,12.43173592819715,91.63588619026133,388.25925456935124,721.2627009355878,288.5050803742351,288.4984247907534,2.5000576743485388,True
1,15,0.26169491525423727,0.036615851255597465,0.29831076650983473,0.2151495496761918,0.06441862359852428,11.818060875463367,116.40894740281111,397.1721016053419,735.9834073025255,294.39336292101024,294.3884965954308,2.500041325711056,True
1,16,0.27847457627118644,0.03465985871669469,0.3131344349878811,0.24362450867969873,0.06441862359852428,11.249251024223591,144.6208866601275,404.54433146103094,750.2307831666345,300.09231326665383,300.1016415748358,2.4999222904268947,True
1,17,0.2952542372881356,0.03289229915916775,0.32814653644730335,0.2738685426385538,0.06441862359852428,10.719913269199262,176.15930537580243,410.43519164524594,764.0455122913663,305.6182049165465,305.6252844348123,2.499942089884032,True
1,18,0.31203389830508477,0.0312884552305257,0.34332235353561047,0.30588165155275693,0.06441862359852428,10.22656042329227,210.90964607435546,414.9893704773271,777.4345045370433,310.9738018148173,310.9792016275755,2.4999565902419687,True
1,19,0.3288135593220339,0.02982754476363475,0.3586411040856686,0.33966383542230805,0.06441862359852428,9.765740033071765,248.686189049839,418.3142609404926,790.4151462124054,316.16605848496215,316.17019657999253,2.499967279529545,True
1,20,0.34559322033898304,0.02849200884018621,0.37408522917916925,0.3752150942472074,0.06441862359852428,9.33417822637591,289.2269066099763,420.48882858135175,803.0112270008644,321.2044908003458,321.19526414560096,2.5000718149967853,True
1,21,0.3623728813559322,0.0272669393605382,0.3896398207164704,0.4125354280274548,0.06441862359852428,8.929849815155272,332.3386029919675,421.66518713656774,815.2194423340478,326.0877769336191,326.0804560633462,2.500056127790985,True
1,22,0.3791525423728813,0.02613961784438995,0.40529216021727127,0.45162483676305026,0.06441862359852428,8.550090481983748,377.69586902139054,421.90658150457847,827.0631985262157,330.8252794104863,330.8194488645182,2.500044061390496,True
1,23,0.3959322033898305,0.025099142743552794,0.4210313461333833,0.49248332045399384,0.06441862359852428,8.192864628688321,424.99276535294285,421.302112424015,838.5545398986208,335.42181595944834,335.41715635912226,2.5000347298896144,True
1,24,0.41271186440677965,0.024136127196572932,0.4368479916033526,0.5351108791002855,0.06441862359852428,7.856365329720537,473.91372165247753,419.93575056187365,849.7046400217263,339.88185600869053,339.8781204968953,2.500027476848096,True
1,25,0.4294915254237288,0.0232424529306291,0.4527339783543579,0.5795075127019254,0.06441862359852428,7.539198732864163,524.2007855729705,417.9103836154598,860.5164264740059,344.2065705896024,344.2164879788995,2.4999279712793876,True
1,26,0.446271186440678,0.022411069029841302,0.4686822554705193,0.6256732212589133,0.06441862359852428,7.239441105838866,575.4117371851241,415.2469902017355,871.0161866153925,348.406474646157,348.4146798568439,2.499941124677279,True
