conductor_length_m,n_pancakes,thickness_m,scan_bin,scan_yr_mid,pancake_length_p60_m,rebco_total_km,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged
2.0,500,0.004,12.0,12.5,3663.4695098302814,1831.7347549151405,35,30,2.0,0.7676271186440679,1.0858092990740869,0.318182180430019,1.8526928200321695,0.3705385640064338,3.7023756964781342,3.7023756964781342,27.95202871804542,12.129238805348324,95.22943829973808,242.9902323454549,750.0000000000002,3705.385640064338,1852692.820032169,485.9804646909098,5.103258754517367,True
2.0,500,0.004,13.0,13.5,3411.9727284259357,1705.9863642129678,33,30,2.0,0.7676271186440679,1.070339216017796,0.3027120973737282,1.7479024944470258,0.349580498889405,3.7023756964781342,3.7023756964781342,27.26404535712789,13.400644918185003,97.26655110667248,246.4307649312067,750.0000000000001,3495.804988894052,1747902.494447026,492.8615298624135,5.067122502594865,True
2.0,500,0.004,14.0,14.5,3391.014663308909,1695.5073316544544,32,30,2.0,0.7676271186440679,1.0625197123067909,0.294892593662723,1.695507331654454,0.3391014663308907,3.7023756964781342,3.7023756964781342,26.90960603655093,14.120742176250111,98.3606611203078,248.24550153733315,750.0,3391.014663308909,1695507.3316544543,496.4910030746663,5.0476582550354525,True
3.0,750,0.004,1.0,1.5,4124.546942404912,3093.410206803684,39,33,3.0,0.8433898305084746,1.1695077768460622,0.3261179463375876,2.0622734712024573,0.4124546942404913,6.703904940556026,6.703904940556026,26.997511255578527,1.9261972340590028,79.34051675708848,247.79268749044212,750.0000000000002,4124.546942404912,3093410.206803684,495.58537498088424,6.246308887780308,True
3.0,750,0.004,2.0,2.5,3663.46950983028,2747.60213237271,35,33,3.0,0.8433898305084746,1.1406300219102947,0.2972401914018201,1.8526928200321695,0.3705385640064338,6.703904940556026,6.703904940556026,25.774493976911756,2.318649418062025,82.73736001281866,254.26069840903307,750.0000000000002,3705.3856400643353,2779039.2300482513,508.52139681806614,6.146212505925739,True
3.0,750,0.004,3.0,3.5,3537.7211191281094,2653.290839346082,33,31,3.0,0.7928813559322034,1.0885933532098595,0.295711997277656,1.7479024944470258,0.349580498889405,5.924988872842331,5.924988872842331,26.514346707011192,3.1251652240910697,84.23787871140038,250.3042575251424,750.0000000000001,3495.8049888940527,2621853.7416705396,500.6085150502848,5.942795838501268,True
3.0,750,0.004,4.0,4.5,3286.2243377237637,2464.6682532928226,31,28,3.0,0.7171186440677967,1.018468456618693,0.3013498125508963,1.6431121688618822,0.3286224337723764,4.84677829993038,4.84677829993038,28.14430428281436,4.808569721409881,85.88906598316602,242.0474781662158,750.0000000000001,3286.2243377237637,2464668.2532928227,484.0949563324316,5.6362815311941175,True
3.0,750,0.004,5.0,5.5,3391.014663308905,2543.2609974816787,32,27,3.0,0.6918644067796611,1.0091447384450285,0.3172803316653672,1.695507331654454,0.3391014663308907,4.511418383268688,4.511418383268688,29.400968893387592,5.12780596838807,84.80241842859624,236.07848484793905,750.0000000000002,3391.014663308905,2543260.9974816786,472.1569696958781,5.567730006349229,True
3.0,750,0.004,6.0,6.5,3076.6436865534733,2307.482764915105,29,27,3.0,0.6918644067796611,0.9840423813109016,0.2921779745312406,1.5383218432767385,0.3076643686553476,4.511418383268688,4.511418383268688,28.21394427344964,6.046762861393116,88.05149264826488,241.70800513900025,750.0000000000002,3076.643686553474,2307482.7649151054,483.4160102780005,5.490151225591138,True
3.0,750,0.004,7.0,7.5,3202.392077255648,2401.7940579417364,30,25,3.0,0.6413559322033898,0.9579553125929318,0.3165993803895419,1.59071700606931,0.318143401213862,3.87676396140874,3.87676396140874,30.503946725776007,7.335558244362782,86.92905520260713,231.0995788115728,750.0,3181.434012138619,2386075.509103964,462.1991576231456,5.316969758222836,True
