length,row_i,col_j,solenoid_length_m,ri,rf,th,a,a_sc,v,v_bore,b0,scan,je_sc,je_max,stress,rebco_pancake_length,rebco_total_length,j_crit,margin,converged,slope_deg
8m,1,18,8.0,0.9348275862068964,0.9559484884056968,0.0211209021988002,0.1254591776287646,0.0250918355257529,21.963568305354492,21.963568305354492,6.525909314971759,15.76282767704331,252.65171866188925,448.5895762059569,750.0000000000003,250.91835525752344,501836.7105150469,897.1791524119138,3.551051056227178,True,0.2098183283452713
8m,1,19,8.0,0.9862068965517242,1.0062499388113808,0.0200430422596565,0.1254591776287646,0.0250918355257529,24.444205725853102,24.444205725853102,6.189397355184308,13.636242063154782,253.24652210983743,455.0634495195387,749.9999999999999,250.9183552575252,501836.71051505033,910.1268990390774,3.593837701922475,True,0.20036214770947897
8m,1,20,8.0,1.0375862068965518,1.0566551155858273,0.0190689086892754,0.1254591776287646,0.0250918355257529,27.057535652420384,27.057535652420384,5.885744238869137,11.886160396092352,253.89790717755872,461.0837832526126,750.0000000000001,250.91835525752904,501836.7105150581,922.1675665052252,3.6320408338786527,True,0.19149679020697324
8m,1,21,8.0,1.0889655172413792,1.1071498517782083,0.0181843345368291,0.1254591776287646,0.0250918355257529,29.803558085056338,29.803558085056338,5.610379046486071,10.431467182695815,254.6019766245471,466.69643746751666,749.9999999999999,250.91835525753552,501836.71051507106,933.3928749350332,3.6660865218319816,True,0.18315771675480946
8m,1,22,8.0,1.140344827586207,1.157722428889732,0.0173776013035249,0.1254591776287646,0.0250918355257529,32.68227302376098,32.68227302376098,5.359538283936877,9.211370272203943,255.35558988807225,471.94132387545824,750.0000000000002,250.9183552575364,501836.71051507274,943.8826477509164,3.6963461350685143,True,0.17529162958230202
8m,1,23,8.0,1.1917241379310346,1.208363073533444,0.0166389356024094,0.1254591776287646,0.0250918355257529,35.69368046853429,35.69368046853429,5.130095667477604,8.179654652495909,256.15617361280306,476.8533332089752,750.0,250.91835525752543,501836.71051505086,953.7066664179504,3.723145349053898,True,0.16785392338842844
8m,1,24,8.0,1.243103448275862,1.2590635725280368,0.0159601242521747,0.1254591776287646,0.0250918355257529,38.83778041937625,38.83778041937625,4.919433112243966,7.300731038148385,257.0015847850478,481.46309591409874,749.9999999999998,250.9183552575261,501836.71051505214,962.9261918281976,3.746771416345834,True,0.16080682376128896
8m,1,25,8.0,1.2944827586206895,1.3098169753511195,0.0153342167304297,0.1254591776287646,0.0250918355257529,42.11457287628692,42.11457287628692,4.725341766968917,6.546869656847334,257.8900105081905,485.79760969174794,750.0000000000002,250.91835525752836,501836.71051505674,971.595219383496,3.767479079429632,True,0.15411278911957693
8m,1,26,8.0,1.3458620689655172,1.360617361800101,0.0147552928345837,0.1254591776287646,0.0250918355257529,45.52405783926624,45.52405783926624,4.545945254395297,5.896232075552961,258.81989369553946,489.8807600391603,750.0000000000006,250.918355257536,501836.7105150719,979.7615200783206,3.7854954118436295,True,0.1477550909582651
8m,1,27,8.0,1.3972413793103449,1.4114596588669472,0.0142182795566023,0.1254591776287646,0.0250918355257529,49.06623530831425,49.06623530831425,4.379639526352902,5.331449972956171,259.78987735440876,493.73375430635053,750.0000000000005,250.9183552575208,501836.7105150416,987.4675086127012,3.801023806888306,True,0.14170327238110297
