row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_sc,je_max,je_coil,stress,length_sc,j_crit,margin,converged,f_sc,length_sc_km,pancake_length_m
69,77,10.0,1.1688888888888889,1.517979797979798,0.34909090909090906,42.923619211091825,42.923619211091825,23.72647474321439,0.009666901361020051,531.9370619464765,531.9370619464765,56.012745762181964,750.0000000000001,5171424.823612018,886.5617699107943,1.6666666666666667,True,0.105299573519504,5171.4248236120175,2068.569929444807
69,78,10.0,1.1839393939393938,1.533030303030303,0.34909090909090906,44.03609656384461,44.03609656384461,23.575184242023884,0.009106639876003624,533.761543922188,533.761543922188,55.69772756031881,750.0,5182175.919068255,889.6025732036468,1.6666666666666667,True,0.10434945753311604,5182.175919068255,2072.870367627302
69,79,10.0,1.198989898989899,1.5480808080808082,0.34909090909090906,45.16280644358492,45.16280644358492,23.42675140205957,0.008585321872259948,535.5649955753947,535.5649955753947,55.38935944443962,749.9999999999997,5193033.907503042,892.6083259589913,1.6666666666666667,True,0.10342229216256185,5193.033907503042,2077.213563001217
69,80,10.0,1.214040404040404,1.5631313131313131,0.34909090909090906,46.303748850312736,46.303748850312736,23.281087379605353,0.008099801445026802,537.3478887891893,537.3478887891893,55.08743743410674,750.0,5203995.575211594,895.5798146486488,1.6666666666666667,True,0.1025172678322711,5203.995575211594,2081.5982300846376
69,81,10.0,1.229090909090909,1.5781818181818181,0.34909090909090906,47.458923784028066,47.458923784028066,23.138107150440007,0.007647221427851155,539.1106794918137,539.1106794918137,54.79176627369006,750.0000000000001,5215057.888838318,898.5177991530229,1.6666666666666667,True,0.10163361320413625,5215.057888838318,2086.023155535327
69,82,10.0,1.2441414141414142,1.5932323232323233,0.34909090909090906,48.628331244730944,48.628331244730944,22.99772930127757,0.00722498379053236,540.8538083779022,540.8538083779022,54.50215895639454,749.9999999999999,5226217.983785742,901.4230139631703,1.6666666666666667,True,0.10077059292575621,5226.217983785742,2090.487193514297
69,83,10.0,1.2591919191919192,1.6082828282828283,0.34909090909090906,49.81197123242132,49.81197123242132,22.85987583495982,0.006830723382392484,542.5777015889943,542.5777015889943,54.218436279669014,750.0,5237473.153476529,904.2961693149905,1.6666666666666667,True,0.09992750553678262,5237.473153476529,2094.9892613906113
69,84,10.0,1.2742424242424242,1.6233333333333333,0.34909090909090906,51.009843747099225,51.009843747099225,22.724471988341854,0.006462284608546509,544.2827713560739,544.2827713560739,53.940426429571254,750.0000000000001,5248820.839396385,907.1379522601233,1.6666666666666667,True,0.09910368152050696,5248.820839396384,2099.528335758554
69,85,10.0,1.2892929292929294,1.6383838383838385,0.34909090909090906,52.22194878876466,52.22194878876466,22.591446061904858,0.006117700681794136,545.969416606667,545.969416606667,53.667964591895824,750.0000000000001,5260258.62185415,909.9490276777783,1.6666666666666667,True,0.09829848148904623,5260.25862185415,2104.10344874166
69,86,10.0,1.3043434343434344,1.6534343434343435,0.34909090909090906,53.4482863574176,53.4482863574176,22.46072926021386,0.005795175139842851,547.6380235388343,547.6380235388343,53.40089258804418,750.0000000000002,5271784.211399665,912.7300392313906,1.6666666666666667,True,0.09751129449151077,5271.784211399665,2108.713684559866
69,87,10.0,1.3193939393939393,1.6684848484848485,0.34909090909090906,54.68885645305807,54.68885645305807,22.332255542414035,0.005493065357999806,549.2889661642247,549.2889661642247,53.13905853380094,749.9999999999999,5283395.44084653,915.4816102737078,1.6666666666666667,True,0.09674153643551178,5283.39544084653,2113.358176338612
69,88,10.0,1.3344444444444445,1.6835353535353537,0.34909090909090906,55.94365907568607,55.94365907568607,22.20596148202755,0.005209867822242002,550.9226068221769,550.9226068221769,52.882316519332434,750.0000000000003,5295090.257851259,918.2043447036283,1.6666666666666667,True,0.09598864861321879,5295.090257851259,2118.0361031405037
69,89,10.0,1.3494949494949495,1.6985858585858586,0.34909090909090906,57.212694225301576,57.212694225301576,22.081786135374735,0.004944204957535582,552.5392966667246,552.5392966667246,52.63052630886424,750.0000000000001,5306866.718004743,920.8988277778743,1.6666666666666667,True,0.09525209632394603,5306.866718004742,2122.746687201897
69,90,10.0,1.3645454545454545,1.7136363636363636,0.34909090909090906,58.49596190190461,58.49596190190461,21.959670917999688,0.00469481333213495,554.1393761282068,554.1393761282068,52.383553058622056,750.0000000000002,5318722.978395739,923.5656268803447,1.6666666666666667,True,0.09453136758594555,5318.722978395738,2127.4891913582956
69,91,10.0,1.3795959595959595,1.7286868686868686,0.34909090909090906,59.79346210549515,59.79346210549515,21.839559488530952,0.004460533080951572,555.7231753510723,555.7231753510723,52.14126705174021,750.0000000000002,5330657.291610028,926.2052922517872,1.6666666666666667,True,0.09382597193071983,5330.657291610028,2132.262916644011
69,92,10.0,1.3946464646464647,1.7437373737373738,0.34909090909090906,61.10519483607324,61.10519483607324,21.72139763945447,0.0042402984104450234,557.2910146093484,557.2910146093484,51.903543448942465,749.9999999999998,5342668.000131597,928.8183576822473,1.6666666666666667,True,0.09313543927372663,5342.668000131597,2137.067200052639
69,93,10.0,1.4096969696969697,1.7587878787878788,0.34909090909090906,62.43116009363882,62.43116009363882,21.605133194317737,0.00403312906428524,558.8432047011329,558.8432047011329,51.67026205389746,750.0000000000001,5354753.531115285,931.4053411685549,1.6666666666666667,True,0.09245931885586854,5354.753531115285,2141.901412446114
69,94,10.0,1.4247474747474747,1.7738383838383838,0.34909090909090906,63.771357878191935,63.771357878191935,21.49071591092233,0.003838122643627357,560.3800473233842,560.3800473233842,51.44130709224109,750.0000000000002,5366912.391503156,933.9667455389738,1.6666666666666667,True,0.09179717825062984,5366.912391503156,2146.7649566012624
69,95,10.0,1.4397979797979799,1.788888888888889,0.34909090909090906,65.12578818973259,65.12578818973259,21.378097390096976,0.003654447688537946,561.9018354281799,561.9018354281799,51.216567003331555,749.9999999999999,5379143.163458688,936.5030590469665,1.6666666666666667,True,0.09114860243213756,5379.143163458688,2151.657265383475
69,96,10.0,1.4548484848484848,1.803939393939394,0.34909090909090906,66.49445102826074,66.49445102826074,21.267230989674868,0.003481337438176929,563.4088535615466,563.4088535615466,50.99593424388134,750.0000000000002,5391444.500095583,939.014755935911,1.6666666666666667,True,0.09051319289981757,5391.444500095583,2156.577800038233
