solenoid_length_m,ri,rf,th,b0,scan,stress,margin,rebco_pancake_length,rebco_total_length,converged
6.0,0.9949152542372882,1.0468656804693506,0.0519504262320623,9.920922894241263,3.4831261092055232,750.0000000000005,4.896295122985749,666.4661980951632,999699.2971427448,True
4.0,1.2222033898305085,1.284478964739769,0.0622755749092605,9.800262136824406,3.5849378254995714,750.0000000000002,5.341561598654037,980.8371748505942,980837.1748505944,True
7.0,0.9191525423728814,0.9665582691570928,0.0474057267842115,9.85989226797297,3.6212304498306382,750.0000000000002,4.595445738724797,561.6758725100248,982932.7768925432,True
6.0,0.9696610169491526,1.0228948516936496,0.0532338347444969,10.172658598394722,3.74007784031364,750.0000000000003,4.861159625879739,666.4661980951654,999699.297142748,True
4.0,1.196949152542373,1.2604730693345525,0.0635239167921795,10.001873209843993,3.7980344539545055,750.0000000000002,5.329428903839585,980.8371748505922,980837.1748505922,True
7.0,0.8938983050847458,0.942575021607726,0.0486767165229801,10.131345880974465,3.911465162667086,750.0000000000002,4.555596717268291,561.6758725100209,982932.7768925366,True
6.0,0.9444067796610168,0.998987264833842,0.0545804851728252,10.437337078000196,4.024067727509646,749.9999999999999,4.824045950180205,666.4661980951686,999699.2971427528,True
4.0,1.1716949152542373,1.2365169061433805,0.0648219908891429,10.211851052088564,4.029094329362742,750.0000000000003,5.315608655140363,980.837174850603,980837.174850603,True
7.0,0.8686440677966102,0.91865989791852,0.0500158301219098,10.417976492241754,4.234962620202663,750.0000000000001,4.513723522649921,561.6758725100218,982932.7768925382,True
4.0,1.1464406779661018,1.212613422670695,0.0661727447045932,10.43072131518403,4.280104172792247,749.9999999999999,5.300024819087064,980.837174850594,980837.174850594,True
6.0,0.9191525423728814,0.975147571386526,0.0559950290136446,10.715970321827369,4.338851629856481,750.0000000000003,4.784868379219584,666.4661980951703,999699.2971427556,True
4.0,1.121186440677966,1.188765796742945,0.0675793560649788,10.659054130642316,4.553325596243689,750.0,5.2825982342852065,980.8371748505916,980837.1748505916,True
7.0,0.8433898305084746,0.8948183601885564,0.0514285296800818,10.72107750468519,4.596768702545207,750.0000000000002,4.4697297327195535,561.6758725100235,982932.7768925412,True
6.0,0.8938983050847458,0.9513808751829572,0.0574825700982114,11.00967739366214,4.688842311683343,750.0000000000003,4.743536032323326,666.4661980951659,999699.2971427488,True
4.0,1.0959322033898309,1.164977458654309,0.0690452552644782,10.897468868260212,4.851341175041319,750.0,5.263246457365759,980.837174850601,980837.1748506008,True
2.0,1.5,1.6040212180007505,0.1040212180007502,11.433149947212614,4.979857909409216,750.0000000000003,4.617589297226268,2028.7404307020356,1014370.2153510178,True
7.0,0.818135593220339,0.8710564507650579,0.0529208575447188,11.04209182707391,5.002895853453519,750.0,4.423512180255119,561.675872510025,982932.7768925438,True
6.0,0.8686440677966102,0.9276927866210616,0.0590487188244512,11.319698826212136,5.079249552020078,750.0000000000001,4.699952414838616,666.4661980951695,999699.2971427542,True
4.0,1.070677966101695,1.141252115810273,0.0705741497085781,11.146639513389411,5.177109657922905,750.0,5.241883596324873,980.837174850602,980837.1748506018,True
2.0,1.4747457627118643,1.580430046675021,0.1056842839631564,11.62243665035002,5.222187707725791,749.9999999999999,4.637118775634898,2028.740430702033,1014370.2153510166,True
7.0,0.7928813559322034,0.8473808683881842,0.0544995124559807,11.382633883157313,5.4605495641892245,750.0000000000002,4.374960304980885,561.6758725100248,982932.7768925432,True
2.0,1.4494915254237288,1.5568910527303503,0.1073995273066215,11.817997838774978,5.481197450363949,750.0,4.656132082958198,2028.7404307020256,1014370.2153510128,True
6.0,0.8433898305084746,0.9040894845288392,0.0606996540203644,11.647413379964243,5.516255865476607,750.0,4.654014918905797,666.4661980951676,999699.2971427512,True
