source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m
thickness_grids_L8000mm.csv,21,16,95,8.0,1.4394343434343435,1.454441995714723,0.0150076522803795,52.07431673327074,4.2570068646759855,52.07431673327074,4.898298638027988,240.0406183203053,1986.4710262118103,1986.4710262118103,3310.785043686351,750.0,0.1208377142948122,219828.42017630307,1,219.82842017630307,109.91421008815152
thickness_grids_L8000mm.csv,22,16,96,8.0,1.4545757575757576,1.4695834098561371,0.0150076522803795,53.17561851171512,4.231782895154707,53.17561851171512,4.678133167330424,238.90857520792804,1988.8621724964096,1988.8621724964096,3314.7702874940164,750.0000000000002,0.1201232435870863,220815.4348627817,1,220.81543486278167,110.40771743139084
thickness_grids_L8000mm.csv,23,16,97,8.0,1.4697171717171718,1.4847248239975512,0.0150076522803795,54.28844427642083,4.206896543762604,54.28844427642083,4.4702925597584775,237.7948036802394,1991.2275020085497,1991.2275020085497,3318.7125033475827,750.0000000000002,0.1194212130157784,221798.35162338827,1,221.79835162338827,110.89917581169414
thickness_grids_L8000mm.csv,24,16,98,8.0,1.484858585858586,1.4998662381389654,0.0150076522803795,55.412794027387896,4.182339200632199,55.412794027387896,4.273962984635627,236.69882991578828,1993.5676102761183,1993.5676102761183,3322.6126837935312,749.9999999999999,0.1187312778837755,222777.23416535865,1,222.77723416535864,111.38861708267932
thickness_grids_L8000mm.csv,25,16,99,8.0,1.5,1.5150076522803797,0.0150076522803795,56.54866776461627,4.158102566152716,56.54866776461627,4.088392150142516,235.6201967062921,1995.8830730612897,1995.88307306129,3326.471788435483,750.0000000000002,0.118053106360032,223752.1443337033,1,223.75214433370328,111.87607216685164
thickness_grids_L8000mm.csv,26,17,95,8.0,1.4394343434343435,1.4561187633914907,0.0166844199571472,52.07431673327074,4.485673748841786,52.07431673327074,3.9733052221337335,227.53010856672776,1965.0780275722736,1965.0780275722736,3275.1300459537892,750.0000000000001,0.1157868061085729,234309.7340794436,1,234.3097340794436,117.1548670397218
thickness_grids_L8000mm.csv,27,17,96,8.0,1.4545757575757576,1.4712601775329048,0.0166844199571472,53.17561851171512,4.459120820043906,53.17561851171512,3.794627384690805,226.45850521661987,1967.53627253712,1967.53627253712,3279.2271208952,749.9999999999998,0.1150974995366177,235350.74667064112,1,235.35074667064112,117.67537333532056
thickness_grids_L8000mm.csv,28,17,97,8.0,1.4697171717171718,1.486401591674319,0.0166844199571472,54.28844427642083,4.432922788477532,54.28844427642083,3.625956642377228,225.4041787598862,1969.968274327521,1969.968274327521,3283.280457212535,750.0000000000002,0.1144202075217842,236387.40397733977,1,236.38740397733977,118.19370198866989
thickness_grids_L8000mm.csv,29,17,98,8.0,1.484858585858586,1.501543005815733,0.0166844199571472,55.412794027387896,4.407070614543432,55.412794027387896,3.466631904258465,224.36668165835573,1972.37463541698,1972.37463541698,3287.2910590283,750.0000000000002,0.1137545969358515,237419.77354560135,1,237.41977354560137,118.70988677280069
thickness_grids_L8000mm.csv,30,17,99,8.0,1.5,1.5166844199571472,0.0166844199571472,56.54866776461627,4.38155558403674,56.54866776461627,3.316042091574117,223.34558204738815,1974.7559383630855,1974.7559383630855,3291.259897271809,750.0000000000001,0.1131003470902453,238447.9209466323,1,238.4479209466323,119.22396047331615
thickness_grids_L8000mm.csv,31,18,95,8.0,1.4394343434343435,1.457897153351699,0.0184628099173553,52.07431673327074,4.7155100391136635,52.07431673327074,3.2534786894071086,216.16437544125455,1944.077812424167,1944.077812424167,3240.129687373612,749.9999999999998,0.1111912157321051,249146.66264570085,1,249.14666264570084,124.57333132285042
thickness_grids_L8000mm.csv,32,18,96,8.0,1.4545757575757576,1.473038567493113,0.0184628099173553,53.17561851171512,4.6876254882480035,53.17561851171512,3.107094537829268,215.1477498440916,1946.599401536274,1946.599401536274,3244.33233589379,750.0000000000001,0.1105249234507598,250242.16807548632,1,250.24216807548632,125.12108403774316
thickness_grids_L8000mm.csv,33,18,97,8.0,1.4697171717171718,1.4881799816345271,0.0184628099173553,54.28844427642083,4.660113066550899,54.28844427642083,2.968912913154358,214.14749549038848,1949.0943736700451,1949.0943736700451,3248.4906227834085,750.0000000000002,0.1098702548133468,251333.05426399628,1,251.33305426399627,125.66652713199814
thickness_grids_L8000mm.csv,34,18,98,8.0,1.484858585858586,1.5033213957759413,0.0184628099173553,55.412794027387896,4.63296330764453,55.412794027387896,2.838391672706721,213.16318879281033,1951.5633369974112,1951.5633369974112,3252.605561662352,750.0000000000003,0.1092268873634271,252419.39269565453,1,252.41939269565452,126.20969634782726
thickness_grids_L8000mm.csv,35,18,99,8.0,1.5,1.5184628099173554,0.0184628099173553,56.54866776461627,4.606167085523211,56.54866776461627,2.715029707312243,212.19442098057417,1954.0068796659916,1954.0068796659916,3256.678132776653,750.0,0.1085945106891566,253501.25276415216,1,253.50125276415216,126.75062638207608
thickness_grids_L8000mm.csv,36,19,95,8.0,1.4394343434343435,1.4597771655953475,0.0203428221610039,52.07431673327074,4.94625556425641,52.07431673327074,2.6875493903112844,205.80282344410276,1923.482960009647,1923.482960009647,3205.804933349412,750.0,0.106994877377583,264327.71223336353,1,264.3277122333635,132.16385611668176
thickness_grids_L8000mm.csv,37,19,96,8.0,1.4545757575757576,1.4749185797367617,0.0203428221610039,53.17561851171512,4.91703851301399,53.17561851171512,2.5665613843833417,204.83638373494264,1926.0642272094608,1926.0642272094608,3210.107045349101,749.9999999999998,0.1063497160900577,265478.16644685564,1,265.47816644685565,132.73908322342783
thickness_grids_L8000mm.csv,38,19,97,8.0,1.4697171717171718,1.4900599938781758,0.0203428221610039,54.28844427642083,4.888210747332694,54.28844427642083,2.452356411069461,203.88548775082165,1928.6185535271072,1928.6185535271072,3214.3642558785123,750.0000000000001,0.1057158178728243,266623.7308326219,1,266.6237308326219,133.31186541631095
thickness_grids_L8000mm.csv,39,19,98,8.0,1.484858585858586,1.50520140801959,0.0203428221610039,55.412794027387896,4.859762377821358,55.412794027387896,2.344485917109307,202.94973380801648,1931.1465516666256,1931.1465516666256,3218.5775861110433,750.0,0.1050928701567812,267764.4809160235,1,267.7644809160235,133.88224045801175
thickness_grids_L8000mm.csv,40,19,99,8.0,1.5,1.520342822161004,0.0203428221610039,56.54866776461627,4.831683870245798,56.54866776461627,2.242535316513067,202.0287342550228,1933.6488142380936,1933.6488142380936,3222.7480237301565,750.0000000000002,0.1044805720498048,268900.49001252203,1,268.900490012522,134.450245006261
thickness_grids_L8000mm.csv,41,20,95,8.0,1.4394343434343435,1.4617588001224366,0.022324456688093,52.07431673327074,5.177691172907229,52.07431673327074,2.238298941251088,196.32506416878343,1903.3007719021025,1903.3007719021025,3172.1679531701707,749.9999999999999,0.1031497843467913,279843.01698820473,1,279.84301698820474,139.92150849410237
