target_scan_yrs,scan_margin_yrs,match_status,solenoid_length_m,length_tape_km,scan,scan_error_yrs,abs_scan_error_yrs,n_candidates_in_window,source_file,pareto_rank,row_i,col_j,ri,rf,th,v,v_bore,b0,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,pancake_length_m,search_pool,pick_rule,note
3.0,0.25,in_window,9.0,372.94744761932736,2.9877618806536015,-0.012238119346398513,0.012238119346398513,6,thickness_grids_L9000mm.csv,47,27,145,1.46,1.4750688707715869,0.0150688707715868,60.26957010352802,60.26957010352802,4.264653413649254,1323.831601892642,1323.831601892642,236.88646487791863,750.0000000000003,372947.44761932734,3309.579004731605,True,0.1789400287311839,165.7544211641455,pareto,closest,
3.0,0.25,in_window,10.0,367.6802445828732,2.968877976636138,-0.031122023363861828,0.031122023363861828,6,thickness_grids_L10000mm.csv,47,24,146,1.47,1.4823260213503897,0.0123260213503896,67.88667565142183,67.88667565142183,3.8681215270075806,1349.3672129595916,1349.3672129595916,260.384181484292,749.9999999999999,367680.2445828733,3373.4180323989785,True,0.1929676214032106,147.0720978331493,pareto,closest,
4.0,0.25,outside_window,2.0,693.0658598845341,5.816118778106168,1.8161187781061683,1.8161187781061683,0,thickness_grids_L2000mm.csv,53,149,149,1.5,1.9,0.4,14.137166941154067,14.137166941154067,12.087644442409593,972.5815241592404,972.5815241592404,47.32961753765375,749.9999999999999,693065.8598845341,2431.453810398101,True,0.0486639077156728,1386.1317197690682,pareto,closest,no design within +/-0.25 yr; nearest is 5.816 yr at 693.1 km
4.0,0.25,in_window,3.0,503.4219019042949,3.984930801440352,-0.015069198559647834,0.015069198559647834,7,thickness_grids_L3000mm.csv,59,85,149,1.5,1.63152344488987,0.1315234448898698,21.205750411731103,21.205750411731103,9.476589784589034,1065.0748899385685,1065.0748899385685,82.87690649271032,749.9999999999998,503421.9019042949,2662.687224846421,True,0.0778132197797757,671.2292025390599,pareto,closest,
4.0,0.25,in_window,4.0,420.65731261965726,4.007335744193063,0.007335744193063043,0.007335744193063043,6,thickness_grids_L4000mm.csv,47,59,147,1.48,1.5444043061123374,0.0644043061123372,27.52537819369233,27.52537819369233,7.614539386074332,1143.8945424693884,1143.8945424693884,117.95084705171264,750.0,420657.31261965726,2859.736356173471,True,0.1031133926009347,420.65731261965726,pareto,closest,
4.0,0.25,in_window,5.0,378.1086344346459,3.978767679663595,-0.021232320336404875,0.021232320336404875,6,thickness_grids_L5000mm.csv,43,45,149,1.5,1.5383024188099634,0.0383024188099635,35.34291735288517,35.34291735288517,6.19364307410503,1213.2813141108588,1213.2813141108588,150.5747938648203,750.0000000000002,378108.63443464594,3033.203285277147,True,0.1241054256037624,302.4869075477167,pareto,closest,
4.0,0.25,in_window,6.0,358.19832539024657,4.034651339418187,0.0346513394181871,0.0346513394181871,5,thickness_grids_L6000mm.csv,40,37,148,1.49,1.5165422278275753,0.0265422278275753,41.8478991014082,41.8478991014082,5.3615343953569035,1258.3975372106795,1258.3975372106795,179.79882838701835,750.0,358198.3253902466,3145.993843026699,True,0.1428791960174637,238.79888359349772,pareto,closest,
4.0,0.25,in_window,7.0,351.459376435481,4.001329215483365,0.0013292154833646208,0.0013292154833646208,5,thickness_grids_L7000mm.csv,38,32,146,1.47,1.4903573712895817,0.0203573712895815,47.52067295599528,47.52067295599528,4.832613830930891,1289.0438836611972,1289.0438836611972,205.1069303378044,750.0,351459.37643548095,3222.6097091529928,True,0.1591155529594935,200.8339293917034,pareto,closest,
4.0,0.25,in_window,8.0,345.4776930193663,4.027803260606917,0.027803260606916957,0.027803260606916957,5,thickness_grids_L8000mm.csv,38,28,145,1.46,1.476054862393586,0.0160548623935858,53.572951203136014,53.572951203136014,4.365965275952987,1317.476050522265,1317.476050522265,230.51722177802833,750.0000000000003,345477.6930193663,3293.6901263056625,True,0.1749688138062534,172.73884650968316,pareto,closest,
4.0,0.25,in_window,9.0,334.70165082326963,3.944073758813635,-0.05592624118636502,0.05592624118636502,5,thickness_grids_L9000mm.csv,36,24,149,1.5,1.5123260213503895,0.0123260213503896,63.61725123519331,63.61725123519331,3.803382247305072,1353.6392001581648,1353.6392001581648,258.9373841105998,750.0,334701.6508232696,3384.098000395412,True,0.1912898090424276,148.7562892547865,pareto,closest,
4.0,0.25,in_window,10.0,337.75749559907587,3.9474585143582206,-0.052541485641779406,0.052541485641779406,4,thickness_grids_L10000mm.csv,37,22,146,1.47,1.4806767262735911,0.0106767262735912,67.88667565142183,67.88667565142183,3.6022081418900394,1367.1053966557442,1367.1053966557442,279.929476148366,750.0000000000001,337757.49559907586,3417.7634916393604,True,0.2047607132801452,135.10299823963035,pareto,closest,
