candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
5,thickness_grids_L4000mm.csv,64,64,149,4.0,1.5,1.575429485158326,0.0754294851583262,28.274333882308134,28.274333882308134,8.121205284161586,2.8319442613075902,1121.2027358305384,1121.2027358305384,108.07420578374054,750.0,468320.78681716934,2803.006839576346,True,0.0963913147283607,468.32078681716933,468.32078681716933,-0.16805573869240975,0.16805573869240975,3.0,0.25,pareto,closest
6,thickness_grids_L4000mm.csv,58,62,149,4.0,1.5,1.5709118508175308,0.0709118508175307,28.274333882308134,28.274333882308134,7.888682474953523,3.180890743873722,1131.4929098272764,1131.4929098272764,111.60705205374336,750.0000000000001,449867.46423897415,2828.732274568191,True,0.0986369875448713,449.86746423897415,449.86746423897415,0.18089074387372195,0.18089074387372195,3.0,0.25,pareto,closest
7,thickness_grids_L4000mm.csv,65,65,147,4.0,1.48,1.5577420836899238,0.0777420836899238,27.52537819369233,27.52537819369233,8.320335572105733,2.811039253183229,1112.5520118811332,1112.5520118811332,106.9432742492175,749.9999999999999,475443.4200257323,2781.380029702833,True,0.0961242918148113,475.44342002573234,475.44342002573234,-0.18896074681677089,0.18896074681677089,3.0,0.25,pareto,closest
0,thickness_grids_L4000mm.csv,47,59,147,4.0,1.48,1.5444043061123374,0.0644043061123372,27.52537819369233,27.52537819369233,7.614539386074332,4.007335744193063,1143.8945424693884,1143.8945424693884,117.95084705171264,750.0,420657.31261965726,2859.736356173471,True,0.1031133926009347,420.65731261965726,420.65731261965726,0.007335744193063043,0.007335744193063043,4.0,0.25,pareto,closest
1,thickness_grids_L4000mm.csv,46,58,149,4.0,1.5,1.5623068330255394,0.0623068330255393,28.274333882308134,28.274333882308134,7.420467622365835,4.0629507456115554,1152.8558975194271,1152.8558975194271,119.35781725375163,749.9999999999999,413731.73721839057,2882.1397437985675,True,0.1035322953289921,413.73173721839055,413.73173721839055,0.06295074561155545,0.06295074561155545,4.0,0.25,pareto,closest
2,thickness_grids_L4000mm.csv,48,59,148,4.0,1.49,1.5544043061123372,0.0644043061123372,27.8985994009388,27.8985994009388,7.576067718806081,3.909829938836044,1145.6588324333577,1145.6588324333577,117.6377599097822,750.0000000000001,421664.738660461,2864.1470810833944,True,0.1026813188878593,421.66473866046096,421.66473866046096,-0.0901700611639562,0.0901700611639562,4.0,0.25,pareto,closest
3,thickness_grids_L4000mm.csv,45,58,148,4.0,1.49,1.5523068330255394,0.0623068330255393,27.8985994009388,27.8985994009388,7.458073890703938,4.1631928827532185,1151.1073963411004,1151.1073963411004,119.67382013242012,749.9999999999999,412743.8526910303,2877.768490852751,True,0.103964078862506,412.7438526910303,412.7438526910303,0.16319288275321853,0.16319288275321853,4.0,0.25,pareto,closest
4,thickness_grids_L4000mm.csv,49,59,149,4.0,1.5,1.5644043061123374,0.0644043061123372,28.274333882308134,28.274333882308134,7.537899201966929,3.81562207408829,1147.415129400533,1147.415129400533,117.32769209609772,750.0000000000001,422668.16561431834,2868.5378235013327,True,0.1022539176012046,422.6681656143183,422.6681656143183,-0.18437792591170998,0.18437792591170998,4.0,0.25,pareto,closest
5,thickness_grids_L4000mm.csv,50,60,147,4.0,1.48,1.546537633439935,0.0665376334399351,27.52537819369233,27.52537819369233,7.73284698750428,3.7676678810793898,1138.5061613776058,1138.5061613776058,115.97269582154028,750.0000000000001,429627.8336799611,2846.2654034440147,True,0.1018639158537464,429.6278336799611,429.6278336799611,-0.23233211892061023,0.23233211892061023,4.0,0.25,pareto,closest
0,thickness_grids_L5000mm.csv,106,66,148,5.0,1.49,1.5700905364623214,0.0800905364623215,34.8732492511735,34.8732492511735,8.851401734577149,0.99735937353584,1090.180628641981,1090.180628641981,103.11130348350127,750.0000000000001,606864.762985406,2725.4515716049523,True,0.0945818525613918,606.864762985406,485.4918103883248,-0.0026406264641599675,0.0026406264641599675,1.0,0.25,pareto,closest
1,thickness_grids_L5000mm.csv,105,66,147,5.0,1.48,1.5600905364623214,0.0800905364623215,34.40672274211541,34.40672274211541,8.89109299658231,1.0246517637761532,1088.5481422431735,1088.5481422431735,103.38967698911752,750.0,605432.7144980361,2721.3703556079336,True,0.094979425325243,605.432714498036,484.3461715984288,0.02465176377615319,0.02465176377615319,1.0,0.25,pareto,closest
2,thickness_grids_L5000mm.csv,104,65,149,5.0,1.5,1.577742083689924,0.0777420836899238,35.34291735288517,35.34291735288517,8.689719132924798,1.0268578337866645,1096.8864769399445,1096.8864769399445,104.44996322711675,750.0,596490.6429931129,2742.216192349861,True,0.0952240413415503,596.4906429931129,477.19251439449033,0.02685783378666451,0.02685783378666451,1.0,0.25,pareto,closest
3,thickness_grids_L5000mm.csv,107,66,149,5.0,1.5,1.5800905364623214,0.0800905364623215,35.34291735288517,35.34291735288517,8.812011176256801,0.9710310594761952,1091.806068049162,1091.806068049162,102.83566574254178,750.0,608291.2536137992,2729.515170122905,True,0.0941885823425477,608.2912536137992,486.6330028910394,-0.02896894052380483,0.02896894052380483,1.0,0.25,pareto,closest
4,thickness_grids_L5000mm.csv,108,67,147,5.0,1.48,1.5624748434755191,0.0824748434755191,34.40672274211541,34.40672274211541,9.014099035498718,0.9698567709740024,1083.5228424222375,1083.5228424222375,101.81133797735174,750.0000000000002,617270.0366812578,2708.8071060555935,True,0.0939632594636864,617.2700366812578,493.8160293450062,-0.030143229025997642,0.030143229025997642,1.0,0.25,pareto,closest
5,thickness_grids_L5000mm.csv,109,70,142,5.0,1.43,1.5198428899599117,0.0898428899599117,32.12121408662883,32.12121408662883,9.594591092115426,0.9501573688314764,1060.4777383624876,1060.4777383624876,98.67153500428628,749.9999999999999,645567.3448990759,2651.194345906219,True,0.0930444189772881,645.5673448990759,516.4538759192608,-0.04984263116852361,0.04984263116852361,1.0,0.25,pareto,closest
6,thickness_grids_L5000mm.csv,103,65,148,5.0,1.49,1.5677420836899238,0.0777420836899238,34.8732492511735,34.8732492511735,8.728603566938439,1.0546802314567605,1095.2654741800418,1095.2654741800418,104.7304773675382,750.0000000000002,595085.4601251543,2738.1636854501044,True,0.0956210889838771,595.0854601251543,476.0683681001235,0.054680231456760486,0.054680231456760486,1.0,0.25,pareto,closest
7,thickness_grids_L5000mm.csv,102,65,147,5.0,1.48,1.5577420836899238,0.0777420836899238,34.40672274211541,34.40672274211541,8.767785413111726,1.0835208044065316,1093.637380519399,1093.637380519399,105.01378035632747,750.0,593674.8454801416,2734.0934512984963,True,0.0960224862709553,593.6748454801416,474.9398763841133,0.08352080440653165,0.08352080440653165,1.0,0.25,pareto,closest
