candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,v_bore,b0,scan,je_tape,je_max,je_coil,stress,length_tape,j_crit,converged,f_tape_min,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
8,thickness_grids_L10000mm.csv,64,27,146,10.0,1.47,1.485068870771587,0.0150688707715868,67.88667565142183,67.88667565142183,4.39574254663423,1.7801794976801864,1973.4311004535575,1973.4311004535575,242.05905958071097,750.0000000000003,285987.01264096017,3289.0518340892627,True,0.1226589869416155,285.9870126409602,114.39480505638409,-0.21982050231981365,0.21982050231981365,2.0,0.25,pareto,closest
9,thickness_grids_L10000mm.csv,55,25,147,10.0,1.48,1.4932044502499888,0.0132044502499887,68.81344548423083,68.81344548423083,4.1009064868071015,2.246177742949864,2001.3707688782335,2001.370768878234,257.83621753147946,750.0,264825.67638126493,3335.6179481303902,True,0.1288298108181106,264.82567638126494,105.93027055250596,0.24617774294986416,0.24617774294986416,2.0,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,45,23,147,10.0,1.48,1.4914834466915905,0.0114834466915904,68.81344548423083,68.81344548423083,3.8243341637850583,2.9698892305569693,2028.3800926373565,2028.3800926373565,276.46968679702894,750.0,243524.34124632177,3380.633487728928,True,0.1363007297303708,243.52434124632177,97.4097364985287,-0.030110769443030705,0.030110769443030705,3.0,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,44,23,146,10.0,1.47,1.4814834466915905,0.0114834466915904,67.88667565142183,67.88667565142183,3.837320055699523,3.0653544138337447,2027.0940581727857,2027.0940581727857,277.2574478759444,750.0000000000001,242728.3778145854,3378.4900969546425,True,0.1367758179538364,242.7283778145854,97.09135112583417,0.06535441383374474,0.06535441383374474,3.0,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,46,23,148,10.0,1.49,1.5014834466915905,0.0114834466915904,69.746498502347,69.746498502347,3.8114792226607777,2.8780102573029858,2029.6549200816587,2029.6549200816585,275.691306046676,749.9999999999998,244319.6232003343,3382.7582001360975,True,0.1358316151770194,244.3196232003343,97.72784928013373,-0.12198974269701424,0.12198974269701424,3.0,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,43,23,145,10.0,1.46,1.4714834466915905,0.0114834466915904,66.96618900392002,66.96618900392002,3.850439136894352,3.164571625167101,2025.7966456934312,2025.7966456934312,278.05474652093704,750.0000000000001,241931.70857925643,3376.327742822386,True,0.1372569883122492,241.9317085792564,96.77268343170256,0.16457162516710122,0.16457162516710122,3.0,0.25,pareto,closest
4,thickness_grids_L10000mm.csv,47,23,149,10.0,1.5,1.5114834466915903,0.0114834466915904,70.68583470577035,70.68583470577035,3.798753046155582,2.7895600478609444,2030.9187078552695,2030.9187078552695,274.9221520265987,750.0000000000002,245114.24761105317,3384.864513092116,True,0.1353683684941419,245.11424761105317,98.04569904442128,-0.21043995213905564,0.21043995213905564,3.0,0.25,pareto,closest
5,thickness_grids_L10000mm.csv,42,22,149,10.0,1.5,1.5106767262735912,0.0106767262735912,70.68583470577035,70.68583470577035,3.6628909252394166,3.227037518171197,2044.5188883007943,2044.5188883007943,285.11307132628616,750.0000000000002,234707.44053750543,3407.5314805013245,True,0.139452402693743,234.70744053750545,93.88297621500216,0.22703751817119722,0.22703751817119722,3.0,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,35,21,147,10.0,1.48,1.489905860096392,0.009905860096392,68.81344548423083,68.81344548423083,3.5519414546349557,3.9911714914693057,2055.7741826355527,2055.7741826355527,297.65887436862096,750.0000000000003,223037.004168879,3426.290304392588,True,0.1447916200538208,223.037004168879,89.2148016675516,-0.008828508530694279,0.008828508530694279,4.0,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,34,21,146,10.0,1.47,1.479905860096392,0.009905860096392,67.88667565142183,67.88667565142183,3.564002411089331,4.119465137576339,2054.5440842253424,2054.5440842253424,298.5070836027678,749.9999999999998,222299.32605858613,3424.2401403755707,True,0.1452911552955646,222.29932605858613,88.91973042343444,0.1194651375763387,0.1194651375763387,4.0,0.25,pareto,closest
