candidate_rank,source_file,pareto_rank,row_i,col_j,solenoid_length_m,ri,rf,th,v,b0,v_bore,scan,je_coil,je_tape,je_max,j_crit,stress,f_tape_min,length_tape,converged,length_tape_km,pancake_length_m,scan_error_yrs,abs_scan_error_yrs,target_scan_yrs,scan_margin_yrs,search_pool,pick_rule
2,thickness_grids_L10000mm.csv,33,15,96,10.0,1.4545757575757576,1.46800826446281,0.0134325068870523,66.4695231396439,4.059543116617294,66.4695231396439,2.625572923879038,250.5579682125668,2005.3600354703856,2005.3600354703856,3342.2667257839767,750.0000000000002,0.1249441316176398,256825.7486975574,1,256.8257486975574,102.73029947902296,0.12557292387903818,0.12557292387903818,2.5,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,36,15,99,10.0,1.5,1.5134325068870524,0.0134325068870523,70.68583470577035,3.9922567159546416,70.68583470577035,2.286789130041599,247.0163626751453,2011.886789523824,2011.886789523824,3353.1446492063737,750.0000000000001,0.122778460478688,260219.2054767777,1,260.21920547677763,104.08768219071106,-0.213210869958401,0.213210869958401,2.5,0.25,pareto,closest
0,thickness_grids_L10000mm.csv,27,14,95,10.0,1.4394343434343435,1.4513933272115092,0.0119589837771655,65.09289591658843,3.8542849341622327,65.09289591658843,3.464607292516622,266.973407813624,2025.416659955162,2025.4166599551625,3375.694433258604,749.9999999999998,0.1318115986167183,238599.06053855995,1,238.5990605385599,95.43962421542398,-0.03539270748337797,0.03539270748337797,3.5,0.25,pareto,closest
1,thickness_grids_L10000mm.csv,26,14,94,10.0,1.4242929292929294,1.436251913070095,0.0119589837771655,63.730673676359615,3.876392127109096,63.730673676359615,3.633585803690513,268.2888215823606,2023.235373192575,2023.235373192575,3372.0589553209584,750.0000000000001,0.1326038606961546,237518.71105709576,1,237.51871105709577,95.0074844228383,0.13358580369051287,0.13358580369051287,3.5,0.25,pareto,closest
2,thickness_grids_L10000mm.csv,25,13,99,10.0,1.5,1.5105870829507193,0.0105870829507193,70.68583470577035,3.547890471502126,70.68583470577035,3.6662252446675927,278.4992714260662,2056.1877048480897,2056.1877048480897,3426.9795080801496,750.0,0.1354444785217902,226041.11324934193,1,226.04111324934192,90.41644529973676,0.1662252446675927,0.1662252446675927,3.5,0.25,pareto,closest
3,thickness_grids_L10000mm.csv,28,14,96,10.0,1.4545757575757576,1.4665347413529233,0.0119589837771655,66.4695231396439,3.832491297788275,66.4695231396439,3.3052781236618243,265.6793416134632,2027.5720569078203,2027.5720569078203,3379.286761513034,749.9999999999998,0.1310332427931767,239674.80004765,1,239.67480004765,95.86992001906,-0.19472187633817573,0.19472187633817573,3.5,0.25,pareto,closest
0,thickness_grids_L3000mm.csv,72,68,98,3.0,1.484858585858586,1.7218093051729415,0.2369507193143557,20.779797760270466,12.28495967056849,20.779797760270466,1.5097623835968577,60.37297980325088,1449.4489264538192,1449.4489264538192,2415.7482107563656,750.0,0.0416523678077831,497131.8478726526,1,497.1318478726526,662.8424638302034,0.00976238359685766,0.00976238359685766,1.5,0.25,pareto,closest
1,thickness_grids_L3000mm.csv,71,67,99,3.0,1.5,1.7300912151821244,0.2300912151821243,21.205750411731103,12.037997476509023,21.205750411731103,1.5304252379394376,61.1615286287566,1461.2645546618455,1461.2645546618455,2435.440924436409,749.9999999999998,0.0418552057761437,488634.5627658782,1,488.63456276587823,651.5127503545043,0.030425237939437633,0.030425237939437633,1.5,0.25,pareto,closest
2,thickness_grids_L3000mm.csv,73,68,99,3.0,1.5,1.736950719314356,0.2369507193143557,21.205750411731103,12.182566866512769,21.205750411731103,1.459062500103774,60.171714177285146,1454.3222490331625,1454.3222490331625,2423.8704150552708,750.0,0.0413744025557523,498477.69687465805,1,498.4776968746581,664.6369291662107,-0.04093749989622597,0.04093749989622597,1.5,0.25,pareto,closest
3,thickness_grids_L3000mm.csv,74,69,98,3.0,1.484858585858586,1.7287704315886134,0.2439118457300275,20.779797760270466,12.429199200231958,20.779797760270466,1.4408903979858931,59.40622568654867,1442.6444441853882,1442.6444441853882,2404.407406975647,749.9999999999999,0.0411787020190503,507015.4144236334,1,507.01541442363344,676.0205525648446,-0.059109602014106866,0.059109602014106866,1.5,0.25,pareto,closest
